sl.no.,brand,name,reviews date added,reviews do recommend,reviews num helpful,reviews rating,reviews,reviews ritle,reight
1,Gallo,Ecco Domani174 Pinot Grigio - 750ml Bottle,2018-01-09T13:24:04Z,TRUE,1,5,This a fantastic white wine for any occasion!,My Favorite White Wine,1.0 lbs
2,Fresh Craft Co.,Fresh Craft174 Mango Citrus - 4pk / 250ml Bottle,2018-01-09T17:31:52Z,TRUE,,5,"Tart, not sweet...very refreshing and delicious!",Yum!!,2.45 lbs
3,1000 Stories,1000 Stories174 Zinfandel - 750ml Bottle,2018-01-09T17:31:51Z,TRUE,,5,I was given this wine so it was a delightful surprise to find that it has a flavorful and delicious taste! A new favorite!!!!,A New Favorite!,3.09 lbs
4,1000 Stories,1000 Stories174 Zinfandel - 750ml Bottle,2017-10-04T18:03:12Z,TRUE,,5,This is a phenomenal wine and my new favorite red.,"Bold, Flavorful, Aromatic, Delicious",3.09 lbs
5,Wine Cube153,Pink Moscato - 3l Bottle - Wine Cube153,2018-01-10T18:06:29Z,TRUE,1,5,4 750ml bottles for the price of two With way less packaging YES PLEASE! I was nervous it was too good to be true and I wouldn't like the wine but it's fantastic! I have to go a bit out of my way to get it (I live near a state line and it isn't sold in my state due to liquor laws) but it's worth it.,"Yum! Plus, Environmentally Friendly!",1.0 lbs
6,Beck's Na,Beck's174 Non Alcoholic Beer - 6pk / 12oz Bottles,2018-01-10T18:59:18Z,TRUE,,5,I LOVE Becks NA. It tastes just like a regular ale. It smells like one too. It tastes great. It's the only NA that I drink. My friends love it too. It has a great head when you pour.,Great Taste,1.0 lbs
7,Gallo,Apothic174 Red Blend - 750ml Bottle,2018-01-09T21:14:31Z,,1,3,This wine has a wonderful but strong aroma its a bit bitter has a bite to it but still goodit was worth it in the end,Simply Wonderful,1.0 lbs
8,Gallo,Apothic174 Red Blend - 750ml Bottle,2017-12-15T00:02:24Z,,1,2,"I would give one more star if it came clean on the bottle and called itself a 'sweet red'. Instead it get's poetic and grandiose about itself when all it is is a blend which (standard practice) gets a dash of grape juice concentrate to sweeten it. It also looses a star for the price, I rather look to the side of my Target's shelves and pick-up a Lambrusco for about 3-4 less.",A Sweet Red.,1.0 lbs
9,California Roots,California Roots Moscato White Wine - 750ml,2018-01-09T13:24:06Z,TRUE,0,5,Delicious and very affordable,,2.65 lbs
10,Charles Charles,Charles Charles174 Red Blend - 750ml Bottle,2018-01-09T17:31:51Z,TRUE,,5,"This is a very smooth red with Aromas of cocoa, coffee, tobacco sweet black cherry. Bold but soft. I highly recommend this one.",Charles & Charles Red Blend,1.0 lbs
11,Fancy Pants,Fancy Pants174 Sauvignon Blanc - 750ml Bottle,2018-01-10T22:30:55Z,TRUE,,5,"Based on positive reviews, I served all of the Fancy Pants varieties at a recent party. My guests and I loved them! Since I am not a wine expert, I will provide some details on this variety from the Fancy Pants website: ...is like sunshine in the glass. Its brisk and bright, with inviting citrus, melon and passion fruit aromas leading to mouthwatering grapefruit and zesty lime flavors with hints of minerality on the palate. Vibrant acidity and a crisp, clean finish make this wine a versatile partner for a wide range of foodsespecially succulent seafood, Mediterranean-style grilled vegetables, and salads. Served well chilled, our Sauvignon Blanc is fun and friendlythe perfect pour for sunny afternoons and picnics.",This Wine Made My Party!,1.0 lbs
12,Martini Rossi,Martini Rossi174 Asti Spumante Sparkling Wine - 750ml Bottle,2018-01-09T17:31:52Z,,0,5,Nice fruity and sweet taking sparkling wine. Goes great in mimosa. You have to try it to see how you will like it. Even the guys would enjoy this at your wedding!,Nice Sparkling Wine Compared To Champagne,0.062 lbs
13,603 Brewery,603174 Winni Amber Ale - 6pk / 12oz Cans,2018-01-05T02:52:41Z,TRUE,,5,A rich amber Ale with a subtle but noticeable hop character. Great beer to pair with food!,Great Nh Beer!,1.0 lbs
14,603 Brewery,603174 White Peaks Ipa - 6pk / 12oz Cans,2018-01-05T02:52:41Z,TRUE,,5,"This light bodied IPA is dry hopped with cascade for a bold and bright HP aroma, balanced by a refreshing and crisp Ale. Great for a cookout out day at the beach, love it!",Dry-Hopped Ipa!,1.0 lbs
15,603 Brewery,603174 White Peaks Ipa - 6pk / 12oz Cans,2017-09-12T19:36:03Z,TRUE,,5,"This light bodied IPA is dry hopped with cascade for a bold and bright HP aroma, balanced by a refreshing and crisp Ale. Great for a cookout out day at the beach, love it!",Dry-hopped Ipa!,1.0 lbs
16,Coppola,Sofia Coppola174 Riesling - 750ml Bottle,2018-01-09T17:31:51Z,,0,5,Great for a perfect summer day or a get together with the girls.,Lovely! Try It!,1.0 lbs
17,California Roots,California Roots Pinot Grigio White Wine - 750ml,2018-01-10T05:58:00Z,,0,2,I'm not sure if this is a bad bottle or if it was intentionally made effervescent. I don't want bubbles when I drink Pinot Grigio. Goes well with mozzarella string cheese and Cinemasins.,Fizzy Pinot Grigio?,2.65 lbs
18,Sancho Libre,Sancho Libre174 Peach - 4pk / 12oz Cans,2018-01-10T18:59:18Z,TRUE,,5,"Obsessed with this new drink----However, it has been sold out at every Target I have been to lately :(",Obsessed,1.0 lbs
